month,n,median_rpm,quote_spearman,quote_mae
2025-01,4918,2.0291576557165607,0.9625090917986935,75.34788977612851
2025-02,4337,2.061142796226214,0.9649753101314843,55.242640580355086
2025-03,5036,2.1392786400606116,0.9701203547197977,63.85647916898331
2025-04,4819,2.1466988540515386,-0.9633980928353879,403.31303918323306
2025-05,4913,2.1901941557168074,-0.9678736031405261,403.3985801180541
2025-06,4783,2.2478847651180898,0.9680634873962062,82.84538374848422
2025-07,4912,2.1874218297132746,-0.9646275531526654,415.7702532677117
2025-08,4759,2.120525234741784,-0.022430840803301568,317.2564475858374
2025-09,4670,2.1596216424733026,0.9665257162483579,71.74932671841542
2025-10,4853,2.1638275204665245,-0.9593080897496458,413.72240696950337
