model,start,end,n,mae,rmse,wape,median_ae,bias
robust_ridge_simple_core,2025-05-01,2025-07-01,9696,110.41340973878255,634.7669687904704,0.04490360168874901,36.67681470187358,-69.77524549914516
robust_ridge_simple_market,2025-05-01,2025-07-01,9696,119.31895946123633,637.6518815519867,0.048525365191048976,42.1071685689418,-82.5125435167091
robust_ridge_simple_core,2025-07-01,2025-09-01,9671,137.64008554927275,623.4926889111875,0.05789541061809138,63.53568947657891,51.20313084188617
robust_ridge_simple_market,2025-07-01,2025-09-01,9671,128.96051838068632,622.1540624035101,0.05424453301795557,56.691975519819835,41.82420076042543
